Name,Matches,Runs,Bat Avg,Wkts,Bowl Avg,Country
Afsar Zazai*,2,33,16.5,0,,Afghanistan
Azmatullah Omarzai*,14,83,13.83,6,40.33,Afghanistan
Darwish Rasooli*,4,34,17,0,,Afghanistan
Fareed Ahmad*,20,25,,29,19.76,Afghanistan
Fazalhaq Farooqi*,14,0,,18,19.78,Afghanistan
Gulbadin Naib*,53,564,18.8,20,34.4,Afghanistan
Hazratullah Zazai*,33,960,32,0,,Afghanistan
Ibrahim Zadran*,13,301,30.1,0,,Afghanistan
Mohammad Nabi*,101,1669,21.68,83,28.06,Afghanistan
Mujeeb Ur Rahman*,33,31,15.5,45,16.58,Afghanistan
Najibullah Zadran*,83,1559,32.48,0,,Afghanistan
Naveen-ul-Haq*,21,18,18,28,19.46,Afghanistan
Qais Ahmad*,2,8,8,4,11.5,Afghanistan
Rahmanullah Gurbaz*,32,828,25.88,0,,Afghanistan
Rashid Khan*,70,262,13.1,116,14.04,Afghanistan
Sharafuddin Ashraf*,13,35,7,7,37,Afghanistan
Usman Ghani*,30,705,27.12,0,,Afghanistan
A C Agar*,46,277,12.04,47,22.3,Australia
P J Cummins*,44,77,7.7,50,23.3,Australia
T H David*,6,116,19.33,0,,Australia
A J Finch*,98,3000,34.48,0,,Australia
J R Hazlewood*,35,21,10.5,52,18.88,Australia
J P Inglis*,9,220,27.5,0,,Australia
M R Marsh*,40,935,30.16,15,22.27,Australia
G J Maxwell*,92,2025,28.52,36,28.61,Australia
K W Richardson*,34,16,5.33,43,22.72,Australia
S P D Smith*,61,997,26.24,17,22.18,Australia
M A Starc*,53,90,10,69,22,Australia
M P Stoinis*,45,647,28.13,14,35.21,Australia
M S Wade*,69,993,25.46,0,,Australia
D A Warner*,94,2846,34.29,0,,Australia
A Zampa*,67,47,6.71,75,22.11,Australia
Afif Hossain*,53,893,21.78,8,24.75,Bangladesh
Ebadat Hossain*,2,0,,4,18.75,Bangladesh
Hasan Mahmud*,5,5,5,5,29.4,Bangladesh
Litton Das*,58,1169,20.88,0,,Bangladesh
Mahedi Hasan*,38,259,12.33,30,26.9,Bangladesh
Mehidy Hasan Miraz*,18,205,14.64,8,49.25,Bangladesh
Mosaddeck Hossain*,27,342,20.12,16,19.38,Bangladesh
Mustafizur Rahman*,73,59,3.93,94,21.46,Bangladesh
Najmul Hossain Shanto*,10,181,20.11,0,,Bangladesh
Nasum Ahmed*,27,44,11,31,20.23,Bangladesh
Nurul Hasan*,39,400,18.18,0,,Bangladesh
Sabbir Rahman*,48,977,23.26,6,13.17,Bangladesh
Shakib Al Hasan*,102,2061,22.9,122,20.34,Bangladesh
Shoriful Islam*,26,15,3,31,21.13,Bangladesh
Soumya Sarkar*,66,1136,18.03,9,40.11,Bangladesh
Taskin Ahmed*,40,84,9.33,28,36.68,Bangladesh
Yasir Ali*,5,82,27.33,0,,Bangladesh
M M Ali*,63,943,22.45,40,26.8,England
H C Brook*,12,315,39.38,0,,England
J C Buttler*,95,2295,33.26,0,,England
S M Curran*,28,138,12.55,25,28.76,England
L A Dawson*,11,57,14.25,6,40.33,England
R J Gleeson*,6,2,1,9,20.78,England
A D Hales*,67,1858,30.97,0,,England
C J Jordan*,81,415,14.82,90,27.36,England
L S Livingstone*,23,368,21.65,12,25.75,England
D J Malan*,49,1587,38.71,1,27,England
T S Mills*,12,8,4,12,30.08,England
A U Rashid*,84,91,6.5,89,24.64,England
P D Salt*,11,235,23.5,0,,England
B A Stokes*,35,451,19.61,19,38.68,England
R J W Topley*,20,13,6.5,21,28.81,England
D J Willey*,41,226,15.07,50,22.94,England
C R Woakes*,19,121,24.2,19,26.53,England
M A Wood*,22,11,,35,19.97,England
Arshdeep Singh*,13,4,,19,19.79,India
R Ashwin*,59,163,27.17,66,22.98,India
Y S Chahal*,69,5,2.5,85,24.65,India
D L Chahar*,24,53,53,29,24.24,India
D J Hooda*,12,293,41.86,1,32,India
S S Iyer*,47,1030,32.19,0,,India
K D Karthik*,55,672,30.55,0,,India
V Kohli*,109,3712,50.85,4,51,India
B Kumar*,79,62,7.75,85,22.55,India
Mohammed Shami*,17,0,,18,31.56,India
H H Pandya*,73,989,25.36,54,28.69,India
R R Pant*,62,961,24.03,0,,India
A R Patel*,32,162,16.2,31,23.87,India
H V Patel*,23,77,12.83,26,26.96,India
K L Rahul*,66,2137,39.57,0,,India
R Ravi Bishnoi*,10,10,10,16,17.13,India
R G Sharma*,142,3737,31.94,1,113,India
S A Yadav*,34,1045,38.7,0,,India
M R Adair*,51,378,14,72,19.11,Ireland
A Balbirnie*,79,1657,23.34,0,,Ireland
C Campher*,21,265,17.67,18,25.06,Ireland
G J Delany*,49,733,19.29,29,26.31,Ireland
G H Dockrell*,105,695,19.86,80,21.55,Ireland
G I Hume*,1,1,1,0,,Ireland
J B Little*,46,70,7.78,51,25.18,Ireland
B J McCarthy*,28,151,13.73,25,35.96,Ireland
C Olphert*,2,0,,0,,Ireland
Simi Singh*,49,289,10.32,41,27.98,Ireland
P R Stirling*,114,3011,28.68,20,33.95,Ireland
H T Tector*,44,768,24,0,,Ireland
L J Tucker*,42,671,19.17,0,,Ireland
S J Baard*,25,665,30.23,0,,Namibia
K Birkenstock*,9,81,27,0,,Namibia
D L Cock*,3,89,29.67,0,,Namibia
Z E Green*,32,243,11.57,0,,Namibia
J N Loftie-Eaton*,19,144,12,3,56,Namibia
L Louwrens*,1,17,,0,,Namibia
B Shikongo*,19,0,0,14,19.43,Namibia
J J Smit*,29,525,32.81,31,18.58,Namibia
R Trumpelmann*,18,63,21,12,28.08,Namibia
M van Lingen*,10,135,19.29,0,,Namibia
D Wiese*,16,295,26.82,14,30.29,Namibia
H N Ya France*,18,32,4.57,5,35.2,Namibia
C N Ackemann*,14,300,27.27,6,29.83,Netherlands
T L W Cooper*,25,552,27.6,3,48.33,Netherlands
B F W de Leede*,23,517,34.47,14,20,Netherlands
S A Edwards*,43,523,22.74,0,,Netherlands
B D Glover*,21,2,0.67,30,16.03,Netherlands
F J Klaassen*,29,35,5,32,23.34,Netherlands
S J Myburgh*,42,864,22.15,0,,Netherlands
A T Nidamanuru*,6,30,10,0,,Netherlands
M P O'Dowd*,50,1347,29.28,3,39.67,Netherlands
T J G Pringle*,7,15,5,4,34.5,Netherlands
Shariz Ahmad*,7,6,6,6,20.33,Netherlands
L V van Beek*,17,43,7.17,18,20.39,Netherlands
T van der Gugten*,40,109,15.57,41,21.44,Netherlands
