,Pos,Team  T,Matches  M,Points  P,Rating  R,Bat Avg,Bowl Avg
0,1,India  IND,55,14760,268,24.69,24.35
1,2,England  ENG,42,11063,263,18.24,21.57
2,3,South Africa  SA,37,9544,258,20.83,14.59
3,4,Pakistan  PAK,46,11838,257,19.33,16.43
4,5,New Zealand  NZ,42,10657,254,24.39,18.45
5,6,Australia  AUS,42,10554,251,20.42,15.97
6,7,West Indies  WI,48,11494,239,19.1,20.2
7,8,Sri Lanka  SL,42,9964,237,15.31,19.83
8,9,Bangladesh  BAN,45,10013,223,14.81,20.09
9,10,Afghanistan  AFG,27,5919,219,17.47,14.17
10,11,Zimbabwe  ZIM,39,7555,194,13.53,16.46
11,12,Ireland  IRE,47,8805,187,15.29,16.54
12,13,UAE  UAE,26,4775,184,16.07,12.91
13,14,Namibia  NAM,29,5321,183,17.91,15.63
14,15,Scotland  SCO,21,3820,182,14.42,21.81
15,16,Nepal  NEP,30,5387,180,0,0
16,17,Oman  OMA,19,3238,170,0,0
17,18,Netherlands  NED,24,4036,168,15.49,19.56
