Team 1,Team 2,Winner,Ground,Date
New Zealand,Australia,Australia,Eden Park,17/02/2005
England,Australia,England,The Rose Bowl,13/06/2005
South Africa,New Zealand,New Zealand,Wanderers Stadium,21/10/2005
Australia,South Africa,Australia,Brisbane Cricket Ground,09/01/2006
New Zealand,West Indies,New Zealand,Eden Park,16/02/2006
South Africa,Australia,South Africa,Wanderers Stadium,24/02/2006
England,Sri Lanka,Sri Lanka,The Rose Bowl,15/06/2006
England,Pakistan,Pakistan,County Ground (Bristol),28/08/2006
Bangladesh,Zimbabwe,Bangladesh,Sheikh Abu Naser Stadium,28/11/2006
South Africa,India,India,Wanderers Stadium,01/12/2006
New Zealand,Sri Lanka,Sri Lanka,Westpac Stadium,22/12/2006
New Zealand,Sri Lanka,New Zealand,Eden Park,26/12/2006
Australia,England,Australia,Sydney Cricket Ground,09/01/2007
South Africa,Pakistan,South Africa,Wanderers Stadium,02/02/2007
England,West Indies,West Indies,Kennington Oval,28/06/2007
England,West Indies,England,Kennington Oval,29/06/2007
Bangladesh,Pakistan,Pakistan,Gymkhana Club Ground,02/09/2007
South Africa,West Indies,South Africa,Wanderers Stadium,11/09/2007
Pakistan,Scotland,Pakistan,Kingsmead,12/09/2007
Australia,Zimbabwe,Zimbabwe,Newlands,12/09/2007
Bangladesh,West Indies,Bangladesh,Wanderers Stadium,13/09/2007
England,Zimbabwe,England,Newlands,13/09/2007
India,Scotland,No result,Kingsmead,13/09/2007
Australia,England,Australia,Newlands,14/09/2007
India,Pakistan,India,Kingsmead,14/09/2007
New Zealand,Sri Lanka,Sri Lanka,Wanderers Stadium,15/09/2007
South Africa,Bangladesh,South Africa,Newlands,15/09/2007
India,New Zealand,New Zealand,Wanderers Stadium,16/09/2007
Australia,Bangladesh,Australia,Newlands,16/09/2007
South Africa,England,South Africa,Newlands,16/09/2007
Pakistan,Sri Lanka,Pakistan,Wanderers Stadium,17/09/2007
England,New Zealand,New Zealand,Kingsmead,18/09/2007
Australia,Pakistan,Pakistan,Wanderers Stadium,18/09/2007
Bangladesh,Sri Lanka,Sri Lanka,Wanderers Stadium,18/09/2007
South Africa,New Zealand,South Africa,Kingsmead,19/09/2007
England,India,India,Kingsmead,19/09/2007
Australia,Sri Lanka,Australia,Newlands,20/09/2007
